,text,favorite_count,retweet_count,created_at
37,# and more on investor sentiment 🍑🍳🥚🍤🍖🍗🍊🍇🍓🍬🍫🍿🍩🍪🍒🍈🥑🍳🥚🍤🍒🍊🍯🍞🥐🥖will the invasion of ukraine and europe’s decision to seek alternative supplies shrink russia’s global power irreparably?,0,0,2023-01-07 11:41:17+00:00
38,"rt @ukraine_map: @okosisi_na_omor what does that have to do with homelessness?

by helping ukraine, us stopped a larger war from happening…",0,7,2023-01-07 11:41:11+00:00
39,"# analysis of more than 3,000 public messages shows a systematic misalignment on climate-related activities freeport terminal closed for at least three weeks as europe seeks to cut dependency on russia",0,0,2023-01-07 11:40:43+00:00
40,"rt @timesofindia: india-us agree very much on restoration of enduring peace in #ukraine, says biden administration

#russiaukrainewar live…",0,2,2023-01-07 11:40:22+00:00
41,"@wallstreetsilv it will never be like that in europe or the us. china and russia are extremely centralized governments evolving around 1 person, there are no checks and balances. the western governments may not be ideal but way better.",0,0,2023-01-07 11:40:18+00:00
42,"@yeone_rhie as long as the affiliates of the islamic republic regime are present in europe and canada,and send money to the iranian government,the brutal execution of the iranian people will continue. let's remember when""the russian oligarchs were kicked out of europe, russia lost the war""",0,0,2023-01-07 11:40:16+00:00
43,rt @drradchenko: another article on atrocious crimes in ukraine under russian occupation: ,0,12,2023-01-07 11:40:14+00:00
44,"rt @trollstoy88: greta reacted 👍🆗 for russia shutting  down 3 of europe dirtiest coal powerplants in the last few days.
thanks general suro…",0,254,2023-01-07 11:40:07+00:00
45,# market questions is the fts guide to the week ahead 🍬🍫🍿🍩🍪🍒🍈🥑🍳🥚🍤🍒🍊🍯🍞🥐🥖🥞🍯🍞🥐russia cuts gas deliveries to europe via nord stream 1,0,0,2023-01-07 11:39:43+00:00
46,"good overview article, but with a very unfortunate title. if ukraine uses the new weapons to try and push russian troops out of their territory, they are not 'taking the fight to russia’. they are defending their country which has been illegally occupied. ",19,5,2023-01-07 11:39:43+00:00
47,"# minority shareholders push for seat at courthouse table, insisting furious rally is sign of groups true value 🍊🍇🍓🍬🍫🍿🍩🍪🍒🍈🥑🍳🥚🍤🍒🍊🍯🍞🥐🥖🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦iea chief accuses russia of worsening europe’s gas crisis",0,0,2023-01-07 11:39:42+00:00
48,# ten financial groups face potential pension fund divestment after claim by us oil-producing state 🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍criticism follows news of edf plant’s closure and risk of russia halting gas shipments to europe,0,0,2023-01-07 11:39:29+00:00
49,"andy vermaut shares:live updates: russia's war in ukraine - cnn: * live updates: russia's war in ukraine  cnn
 *…  thank you. #andyvermautsharesthisnewswithloveandhopes #theworldcanbecomeabetterplacesomedaysometime #weneedmoreloveforworldpeacenowandalways ",0,0,2023-01-07 11:39:20+00:00
50,"@rob_kimbell umm, for turkey and russia you really should break their gdp down between europe and asia.",0,0,2023-01-07 11:39:08+00:00
51,live updates: russia's war in ukraine - cnn  ,0,0,2023-01-07 11:39:07+00:00
52,rt @mansrad: innovation in the field ,0,1,2023-01-07 11:39:03+00:00
53,"# most alarming is that very high gas prices could persist through 2023 and possibly into 2024 if russia cuts off gas supplies to europe, britain might not be immune to shortages amid rising competition for fuel",0,0,2023-01-07 11:38:58+00:00
54,innovation in the field ,5,1,2023-01-07 11:38:41+00:00
55,rt @kimiversenshow: the gas heating prices in california have suddenly tripled over what was already suddenly doubled. meaning we are now p…,0,812,2023-01-07 11:37:53+00:00
56,"moscow, russia is on the western border of the country, *specifically not* the eastern border. it clings to europe like a parasite.

#icymi #politics #fyi #lifehack #trivia #fuckputin",0,0,2023-01-07 11:37:26+00:00
57,rt @thesiriusreport: tehran is seemingly unwilling to allow europe any investment opportunities in iran compared to the huge deals signed w…,0,162,2023-01-07 11:37:00+00:00
58,rt @kimiversenshow: the gas heating prices in california have suddenly tripled over what was already suddenly doubled. meaning we are now p…,0,812,2023-01-07 11:36:58+00:00
59,"rt @andriypzag: whoever tells us to “trade territories for peace” should not only remember that appeasing never helps, but also that their…",0,34,2023-01-07 11:36:53+00:00
60,"andrei martyanov on how long it will take europe to recover? how russia ...  via @youtube 
or will europe recover.",0,0,2023-01-07 11:36:52+00:00
61,"@zb826 @crushunyoo @d_wickedone @naija_pr 

i know you so much want to make a religious war! but it obviously is not! you can shove your conspiracy theories up your ass.. even if you claim there are religious elements to it! its not the reason for the war! stop spitting crap",0,0,2023-01-07 11:36:42+00:00
62,"@n_roettgen as long as the affiliates of the islamic republic regime are present in europe and canada,and send money to the iranian government,the brutal repression of the iranian people will continue. let's remember when""the russian oligarchs were kicked out of europe,russia lost the war""",0,0,2023-01-07 11:36:18+00:00
63,# customs data suggest demand from beijing and new delhi is largely offsetting loss of sales to europe 🍎🍳🥚🥨🥩🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗🍊🍇🍓🍬🍫🍿🍩🍪🍒🍈🥑🍳🥚🍤🍒🍊🍯exxonmobil to exit russia operations as it condemns ukraine invasion,0,0,2023-01-07 11:36:16+00:00
64,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:36:09+00:00
65,rt @bbcworld: ukraine and russia blame each other as president putin's truce falters ,0,33,2023-01-07 11:35:52+00:00
66,@drjwood2 @tedcruz @kevinomccarthy ukraine is our ally and preventing russia from trying to take over europe. good for mccarthy!,0,0,2023-01-07 11:35:35+00:00
67,"# schwedts residents fear nightmare scenario if refinery, their main source of jobs and heating, is forced to close 🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗🍊🍇🍓🍬🍫🍿europe plans for risk that russia cuts gas supply this year",0,0,2023-01-07 11:35:31+00:00
68,rt @kimiversenshow: the gas heating prices in california have suddenly tripled over what was already suddenly doubled. meaning we are now p…,0,812,2023-01-07 11:35:13+00:00
69,zelensky says russia wants to use ceasefire as ‘cover’ to halt ukrainian advance  via @france24,0,0,2023-01-07 11:35:02+00:00
70,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:35:01+00:00
71,"ukraine says fighting continued friday, despite russian ceasefire ",0,0,2023-01-07 11:34:49+00:00
72,"russia can’t win its self-evidently stupid war – and working out what will happen next is almost impossible, writes @lawdavf. ",1,0,2023-01-07 11:34:48+00:00
73,"@dominicraab @dilanyesilgoz @intlcrimcourt russia and ukraine the two most corrupt countries in europe. we don’t care about them, focus on the shit state our country is in. sort out the nhs, fund our own armed forces, stop fighting age illegal immigrants coming in the masses.",0,0,2023-01-07 11:34:46+00:00
74,rt @kanthan2030: asia replaces europe as russia’s main customer. what’s the point of all this drama other than to reshuffle the sellers and…,0,23,2023-01-07 11:34:12+00:00
75,rt @kimiversenshow: the gas heating prices in california have suddenly tripled over what was already suddenly doubled. meaning we are now p…,0,812,2023-01-07 11:33:55+00:00
76,calling for end of 'russian empire': ukraine parliament quotes nazi collaborator ,0,0,2023-01-07 11:33:42+00:00
77,"rt @timand2037: after 8 years of this in donbass, #russia intervened. valentina popova lost a leg and arm to shelling. “we used to dance, s…",0,85,2023-01-07 11:33:19+00:00
78,"rt @bhavi_kap: russia’s winter war has frozen europe’s politics
a solution to russia’s war in ukraine doesn’t need to come from russia or u…",0,9,2023-01-07 11:33:19+00:00
79,# australian energy producer says ukraine war and europes crunch have shifted global supply chain 🍳🥚🍤🍒🍊🍯🍞🥐🥖🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉government adviser says europe’s largest economy faces big hit if berlin accepts russia gas ban,0,0,2023-01-07 11:33:01+00:00
80,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:33:00+00:00
81,"rt @euromaidanpress: us to start training ukrainians on patriot missile system later this month, training to take several months

",0,37,2023-01-07 11:32:59+00:00
82,# watchdog to take no action against private equity group over disclosures about 2.7bn share sale by executives 🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒freeport terminal closed for at least three weeks as europe seeks to cut dependency on russia,0,0,2023-01-07 11:32:39+00:00
83,rt @thesiriusreport: tehran is seemingly unwilling to allow europe any investment opportunities in iran compared to the huge deals signed w…,0,162,2023-01-07 11:32:36+00:00
84,"rt @pawlowskimario: while russian invaders are drinking vodka #ukrainian soldiers educate themselves. #standwithukraine 🇺🇦🇺🇸🇵🇱🇪🇺

a ukraini…",0,6,2023-01-07 11:32:29+00:00
85,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:32:24+00:00
86,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:32:11+00:00
