,text,favorite_count,retweet_count,created_at
36,"RT @EricTopol: The hidden humanitarian Covid crisis in China
https://t.co/3ejhlzkLvv @ScienceMagazine 
https://t.co/vUaOtrxJAm @joyuwang 
@…",0,29,2023-01-05 20:43:26+00:00
37,@MaryDan44273159 @DrAseemMalhotra Science doesn't need data. Just a podcast. 🤣,0,0,2023-01-05 20:43:23+00:00
38,"I got a bipolar dx years ago as a result of a failed deprescription attempt. I work a complex job in data science, am married with a toddler, cook, clean, do DIY tasks around my home with a mortgage etc and yet if you asked me about mood swings I wont know what you're on about 🤠",0,0,2023-01-05 20:41:55+00:00
39,"RT @python_spaces: If you are looking for remote jobs in Data Science, open this. 

A Thread 🧵👇 https://t.co/g1pbtRI434",0,25,2023-01-05 20:41:24+00:00
40,"RT @CenterForAstro: Have you heard of @NASA's #AstrophotoChallenge? Mary Dussault, who helps manage the challenge, speaks with @KXAN_News o…",0,3,2023-01-05 20:41:08+00:00
41,"@olenabomko I will write more about how to analyze data in Twitter analytics.

But I don't plan on writing technical content.

Are you interested in data science?",1,0,2023-01-05 20:41:07+00:00
42,"RT @mohsinramay_: I’m happy to share that I’m starting a new position as Data Scientist at FMC Corporation! In this position, I will build…",0,6,2023-01-05 20:39:35+00:00
43,"RT @NASAGoddard: Combining art and science makes a connection with audiences that data alone might not, Mark said. In his viral 2022 ""Clima…",0,16,2023-01-05 20:38:41+00:00
44,"RT @Parajulisaroj16: This book has mission to spell out the motivation, intuition, and implication of the probabilistic tools we use in sci…",0,14,2023-01-05 20:37:57+00:00
45,"埃隆·马斯克周三晚上炒掉了40名负责Twitter广告业务的data scientist和data engineer。“layoffs targeted area...unimportant, such as data science”。

作为一名data scientist，我极为愤慨，炒人还带着羞辱一把。 https://t.co/KImc7vulIw",1,1,2023-01-05 20:37:41+00:00
46,"RT @ChrisStaud: 7 Tools and Resources to Help You Land a Job in Programming, Data Science, DevOps &amp; More:",0,183,2023-01-05 20:37:15+00:00
47,"★ Brazil's Most Engaging Science Stars*—on Twitter • Dec 29-Jan 4:

📂Twitter public engagement data
 └📁Quantitative measurement (7 days)
      └📁No content analysis
          └📁Replicable methodology

(42a/42)",1,0,2023-01-05 20:36:55+00:00
48,"I am excited to announce that I will be speaking at @ArgyleExecForum DATAx Unite on January 11, 2023! ➡️Register now: https://t.co/YVMhlQdwq8 #DataFam #ArgyleDigital #Data #Analytics https://t.co/iqq9D83HNW",1,0,2023-01-05 20:36:25+00:00
49,"RT @ChrisStaud: 7 Tools and Resources to Help You Land a Job in Programming, Data Science, DevOps &amp; More:",0,183,2023-01-05 20:36:08+00:00
50,@caelanhuntress director of a data science team. single income family.,0,0,2023-01-05 20:36:01+00:00
51,"RT @HeatherEHeying: We should all care. 

When data monkeys trot out “results” generated from assumptions that fit their own preconceptions…",0,30,2023-01-05 20:35:58+00:00
52,Introducing the Fifth Cohort of Bloomberg Data Science Ph.D. Fellows (2022-2023) https://t.co/U4UC6HDFOM,0,0,2023-01-05 20:34:51+00:00
53,"RT @HeatherEHeying: We should all care. 

When data monkeys trot out “results” generated from assumptions that fit their own preconceptions…",0,30,2023-01-05 20:34:47+00:00
54,"@Studio26151 Cant say in general. &amp;It's your choice - I am not convincing anyone to get the bivalent booster!
 you are able to read science data and make decision based on science&amp; on your vaccination and infection history- why do you think I would blame someone for not getting the  Booster?",0,0,2023-01-05 20:33:50+00:00
55,"Well, now you can provide science instead of simply dragging these people online. Scientists can provide good data and research instead of acting like adolescent Twitter trolls. 🎉 https://t.co/1QSIObzTOG",1,0,2023-01-05 20:33:36+00:00
56,"@PathToIkigai My pleasure 😊
Do you plan to post about data science here?",2,0,2023-01-05 20:32:34+00:00
